,SAMPLE_NAME,SPEAK,DISTR,NOISE,DISTR_SNR,NOISE_SNR,ECHO,PESQ,STOI,SDR,SISDR,ESTOI,DNSMOS-P808,DNSMOS-SIG,DNSMOS-BAK,DNSMOS-OVR,PROCESSING_TIME
1687,005061,P269,831,NPARK,-6.0,-9.0,False,3.1410136222839355,0.7858253717422485,22.893007278442383,21.731414794921875,0.7261965274810791,3.4687656334468295,4.07607222904424,4.544495488200238,3.8147088156354036,0.016688108444213867
1688,005064,P260,4160,SPSQUARE,-1.0,-30.0,True,1.636275291442871,0.8940514326095581,10.349079132080078,9.562729835510254,0.7187248468399048,3.3015900679997037,3.5386622414981765,4.352121365573734,3.299777885377903,0.016597986221313477
1689,005067,P260,4160,SPSQUARE,-14.0,-1.0,False,3.6206586360931396,0.9958691000938416,26.793983459472656,26.368518829345703,0.9845628142356873,3.7499701976776123,4.184316232480582,4.2659465840575175,3.854664492674883,0.017154216766357422
1690,005070,P317,1263,TCAR,-5.0,-13.0,True,2.979126214981079,0.7802016139030457,16.729223251342773,14.72213363647461,0.6930363774299622,3.5348802975245883,3.646637222513747,4.440528649330722,3.3416595828127065,0.016531944274902344
1691,005073,P317,1263,TCAR,-12.0,-16.0,False,3.7668325901031494,0.8771982789039612,21.583740234375,20.808828353881836,0.7932186722755432,3.5542701993669783,3.494977374018608,4.4467263289083405,3.2165467818023643,0.016759395599365234
1692,005076,P272,150,OHALLWAY,-11.0,-21.0,True,2.992448329925537,0.986796498298645,19.22530174255371,15.988450050354004,0.9511445164680481,3.532952751432146,2.950934186813415,3.9958257546918383,2.520140554210628,0.016704797744750977
1693,005079,P272,150,OHALLWAY,-11.0,-15.0,False,3.769092082977295,0.9989105463027954,29.449329376220703,28.591693878173828,0.9955872893333435,3.580143519810268,3.094367148037141,4.362319307351467,2.7511162703370493,0.016576528549194336
1694,005082,P269,6437,STRAFFIC,-5.0,-16.0,True,2.4068307876586914,0.7861378788948059,16.417123794555664,15.078577041625977,0.7236190438270569,3.261006934302194,3.263707818400557,4.025708524030085,2.985961544586059,0.016971111297607422
1695,005085,P269,6437,STRAFFIC,-13.0,-21.0,False,1.9202690124511719,0.7677357196807861,14.142467498779297,12.866119384765625,0.6828479766845703,3.5593694959368025,3.530582388540178,4.265610941467335,3.3139006660694186,0.016583681106567383
1696,005088,P299,1867,NPARK,-4.0,-8.0,True,3.0244855880737305,0.9960470199584961,21.877174377441406,19.63779640197754,0.9820596575737,3.431460346494402,4.063806058548334,4.283930466127819,3.721985089951874,0.016752958297729492
1697,005091,P299,1867,NPARK,0.0,-7.0,False,3.3998546600341797,0.9984649419784546,25.6018123626709,25.1975040435791,0.9913803935050964,3.5194482803344727,4.062689976814172,4.471306937395893,3.763907761125147,0.016476154327392578
1698,005094,P248,4813,NFIELD,-15.0,-13.0,True,3.0475821495056152,0.9778795838356018,21.981740951538086,19.752525329589844,0.9184266924858093,3.3473193304879323,3.5946908336657706,4.29618705602853,3.2944180408395805,0.016829967498779297
1699,005097,P248,4813,NFIELD,-5.0,-1.0,False,3.923288583755493,0.9956040382385254,31.189212799072266,30.463470458984375,0.9749436378479004,3.352163791656494,3.9374658136414853,4.42683049939283,3.6734692950054173,0.01670980453491211
1700,005100,P317,1284,STRAFFIC,-5.0,-10.0,True,3.2590174674987793,0.9727089405059814,22.081411361694336,19.08234405517578,0.8970010876655579,3.4261422157287598,4.0623803814702315,4.409149004225181,3.7244872499566517,0.016557693481445312
1701,005103,P317,1284,STRAFFIC,-2.0,-18.0,False,2.934424638748169,0.9629399180412292,19.856348037719727,18.737173080444336,0.8704037666320801,3.4181504590170726,3.8927168146294693,4.224896738295194,3.5361438202454596,0.01668381690979004
1702,005106,P272,8629,PCAFETER,-12.0,-3.0,True,2.94451642036438,0.7947311401367188,15.12288761138916,13.600358963012695,0.6844761967658997,3.642641714641026,3.3545702826649104,4.328943494309239,3.0643910241002437,0.017082929611206055
1703,005109,P272,8629,PCAFETER,-11.0,-19.0,False,2.332474708557129,0.6684241890907288,15.864178657531738,15.007394790649414,0.5681111812591553,3.5293239865984236,3.3686335650788797,4.28531042758549,3.0684706223354405,0.016742706298828125
